306.1239065 +16.7621828     54096.93     350.2772     hatp23b.00000001.out.fits	00:39:55.572        	
306.1239460 +16.7621699     96960.53     304.0447 hatp23b.00000002.out.fits	00:41:00.354        	
306.1239630 +16.7621912     86432.28     313.9734 hatp23b.00000003.out.fits	00:42:05.136        	
306.1239316 +16.7621941     89730.22     309.4887 hatp23b.00000004.out.fits	00:43:09.918        	
306.1239124 +16.7621871     102346.8     294.9522 hatp23b.00000005.out.fits	00:44:14.699        	
306.1239380 +16.7622059     103146.1     297.6101 hatp23b.00000006.out.fits	00:45:19.496        	
306.1239836 +16.7622261       102172     298.7371 hatp23b.00000007.out.fits	00:46:24.262        	
306.1239950 +16.7622077     103665.1     304.3002 hatp23b.00000008.out.fits	00:47:29.075        	
306.1240047 +16.7622182     105406.8     294.0748 hatp23b.00000009.out.fits	00:48:33.873        	
306.1240009 +16.7622102     104860.1     294.1358 hatp23b.00000010.out.fits	00:49:38.655        	
306.1239880 +16.7622212     103526.7     294.1457 hatp23b.00000011.out.fits	00:50:43.436        	
306.1239921 +16.7622279     104715.5     294.0512 hatp23b.00000012.out.fits	00:51:48.202        	
306.1239963 +16.7622032     104359.4      293.185 hatp23b.00000013.out.fits	00:52:53.001        	
306.1239851 +16.7622039     104778.6     293.7174 hatp23b.00000014.out.fits	00:53:57.783        	
306.1239919 +16.7622209     103891.9     293.0483 hatp23b.00000015.out.fits	00:55:02.533        	
306.1240064 +16.7622014     105005.6     293.4524 hatp23b.00000016.out.fits	00:56:07.283        	
306.1240081 +16.7622142       104511      293.387 hatp23b.00000017.out.fits	00:57:12.018        	
306.1239860 +16.7622119     104986.2     293.6552 hatp23b.00000018.out.fits	00:58:16.768        	
306.1240021 +16.7622095     103269.8     291.9672 hatp23b.00000019.out.fits	00:59:21.566        	
306.1239848 +16.7622049     104209.5     292.7883 hatp23b.00000020.out.fits	01:00:26.332        	
306.1240015 +16.7622074     105659.2     293.6684 hatp23b.00000021.out.fits	01:01:31.113        	
306.1240118 +16.7621980     105429.1     293.0042 hatp23b.00000022.out.fits	01:02:35.895        	
306.1239858 +16.7622025     106035.3     294.1462 hatp23b.00000023.out.fits	01:03:40.676        	
306.1239815 +16.7622138     104853.1     293.0643 hatp23b.00000024.out.fits	01:04:45.458        	
306.1239745 +16.7622042     106316.3     294.2063 hatp23b.00000025.out.fits	01:05:50.224        	
306.1240023 +16.7622035     104529.9     294.4277 hatp23b.00000026.out.fits	01:06:55.006        	
306.1240151 +16.7622169     100657.2     297.3949 hatp23b.00000027.out.fits	01:07:59.787        	
306.1239471 +16.7621707     99828.05     295.5016 hatp23b.00000028.out.fits	01:09:04.569        	
306.1239750 +16.7621639     97566.51     300.0876 hatp23b.00000029.out.fits	01:10:09.350        	
306.1239356 +16.7621734     99045.05     302.4034 hatp23b.00000030.out.fits	01:11:14.148        	
306.1239640 +16.7621694       105719     295.8156 hatp23b.00000031.out.fits	01:12:18.929        	
306.1239568 +16.7621711     89929.41     299.1863 hatp23b.00000032.out.fits	01:13:23.711        	
306.1239633 +16.7621593     95956.77     296.8065 hatp23b.00000033.out.fits	01:14:28.493        	
306.1239420 +16.7621648     91555.12     302.8399 hatp23b.00000034.out.fits	01:15:33.259        	
306.1239515 +16.7621683     105747.7     296.4605 hatp23b.00000035.out.fits	01:16:38.025        	
306.1239534 +16.7621614     106289.1     293.8408 hatp23b.00000036.out.fits	01:17:42.791        	
306.1239615 +16.7621711     105272.9     293.3386 hatp23b.00000037.out.fits	01:18:47.573        	
306.1239467 +16.7621814     105499.2     294.5931 hatp23b.00000038.out.fits	01:19:52.339        	
306.1239498 +16.7621722     105364.3     293.7409 hatp23b.00000039.out.fits	01:20:57.120        	
306.1239624 +16.7621754     105489.8     293.3636 hatp23b.00000040.out.fits	01:22:01.902        	
306.1239490 +16.7621739     104510.7     291.4454 hatp23b.00000041.out.fits	01:23:06.699        	
306.1239370 +16.7621571     105399.3     291.3457 hatp23b.00000042.out.fits	01:24:11.496        	
306.1239566 +16.7621549     106993.2     288.3797 hatp23b.00000043.out.fits	01:25:16.262        	
306.1239432 +16.7621662     106620.3     287.4804 hatp23b.00000044.out.fits	01:26:21.028        	
306.1239653 +16.7621779     106877.5     287.1242 hatp23b.00000045.out.fits	01:27:25.826        	
306.1239586 +16.7621734     106800.5     286.6939 hatp23b.00000046.out.fits	01:28:30.592        	
306.1239395 +16.7621618     107172.6     286.5365 hatp23b.00000047.out.fits	01:29:35.358        	
306.1239371 +16.7621577     105807.4     287.6836 hatp23b.00000048.out.fits	01:30:40.154        	
306.1239393 +16.7621808      96602.2     290.5905 hatp23b.00000049.out.fits	01:31:44.921        	
