306.0601808 +16.7604594     23890.61     328.6805 hatp23b.00000001.out.fits	00:39:55.572        	
306.0602116 +16.7604988      43114.2     257.0208 hatp23b.00000002.out.fits	00:41:00.354        	
306.0602194 +16.7604946     37773.67     273.5472 hatp23b.00000003.out.fits	00:42:05.136        	
306.0601886 +16.7605226      39386.7     267.1042 hatp23b.00000004.out.fits	00:43:09.918        	
306.0601782 +16.7604942     45721.14     244.0025 hatp23b.00000005.out.fits	00:44:14.699        	
306.0601948 +16.7605032     45161.68     245.1503 hatp23b.00000006.out.fits	00:45:19.496        	
306.0602326 +16.7605196     45413.07     248.7462 hatp23b.00000007.out.fits	00:46:24.262        	
306.0602519 +16.7605116     45961.32     254.1399 hatp23b.00000008.out.fits	00:47:29.075        	
306.0602520 +16.7605159      46018.3     240.6144 hatp23b.00000009.out.fits	00:48:33.873        	
306.0602623 +16.7605232     46333.21     241.2198 hatp23b.00000010.out.fits	00:49:38.655        	
306.0602511 +16.7605078     46091.44     242.2732 hatp23b.00000011.out.fits	00:50:43.436        	
306.0602532 +16.7605350      45678.6     239.9189 hatp23b.00000012.out.fits	00:51:48.202        	
306.0602577 +16.7605144     46116.46     240.6285 hatp23b.00000013.out.fits	00:52:53.001        	
306.0602398 +16.7605251      46368.7     240.6001 hatp23b.00000014.out.fits	00:53:57.783        	
306.0602626 +16.7605234     46266.59     239.8396 hatp23b.00000015.out.fits	00:55:02.533        	
306.0602514 +16.7605103     46221.24     240.0672 hatp23b.00000016.out.fits	00:56:07.283        	
306.0602714 +16.7605364     45314.15     239.7408 hatp23b.00000017.out.fits	00:57:12.018        	
306.0602212 +16.7605351     45585.36     239.3527 hatp23b.00000018.out.fits	00:58:16.768        	
306.0602664 +16.7605175     45347.95     239.3543 hatp23b.00000019.out.fits	00:59:21.566        	
306.0602386 +16.7605291      45821.3     239.7692 hatp23b.00000020.out.fits	01:00:26.332        	
306.0602504 +16.7605354     46471.79     239.6432 hatp23b.00000021.out.fits	01:01:31.113        	
306.0602593 +16.7605163     46600.21     239.8652 hatp23b.00000022.out.fits	01:02:35.895        	
306.0602618 +16.7605057     46511.24     240.1683 hatp23b.00000023.out.fits	01:03:40.676        	
306.0602419 +16.7605291     45661.29     239.2352 hatp23b.00000024.out.fits	01:04:45.458        	
306.0602403 +16.7605237      46044.6     239.3163 hatp23b.00000025.out.fits	01:05:50.224        	
306.0602653 +16.7605197     46025.33     240.6845 hatp23b.00000026.out.fits	01:06:55.006        	
306.0602831 +16.7605226     44023.84     246.9457 hatp23b.00000027.out.fits	01:07:59.787        	
306.0602086 +16.7605036     43839.98     245.7911 hatp23b.00000028.out.fits	01:09:04.569        	
306.0602309 +16.7604948     42515.33     250.9343 hatp23b.00000029.out.fits	01:10:09.350        	
306.0602054 +16.7605035     43229.61     253.4816 hatp23b.00000030.out.fits	01:11:14.148        	
306.0602353 +16.7604967     46434.77     242.3963 hatp23b.00000031.out.fits	01:12:18.929        	
306.0602304 +16.7604996     39564.71     255.2139 hatp23b.00000032.out.fits	01:13:23.711        	
306.0602389 +16.7605133     42552.61     249.4026 hatp23b.00000033.out.fits	01:14:28.493        	
306.0602075 +16.7604845     40052.79     258.3548 hatp23b.00000034.out.fits	01:15:33.259        	
306.0602247 +16.7604898     47092.56     243.8682 hatp23b.00000035.out.fits	01:16:38.025        	
306.0602337 +16.7604982     46617.23     239.5875 hatp23b.00000036.out.fits	01:17:42.791        	
306.0602335 +16.7605293     46438.76      239.765 hatp23b.00000037.out.fits	01:18:47.573        	
306.0602310 +16.7605129     46401.11     240.9191 hatp23b.00000038.out.fits	01:19:52.339        	
306.0602385 +16.7605134     46416.18     240.0296 hatp23b.00000039.out.fits	01:20:57.120        	
